song_id,lyrics,Mood,Mood_encod
ML450,"n't leave way ca n't survive , ca n't stay alive without love n't leave way , ca n't exist , surely miss tender kiss n't leave way n't leave way broken man empty hand baby please , please n't leave way oh baby heart full love desire come 've got started fire soul ca n't see 's burning control come satisfy need 'cause good loving set free free , free n't leave way 'cause would wrong string along love true n't leave way n't understand 'm command baby please , please n't leave way might also likedo n't leave way ca n't survive ca n't stay alive without love n't leave way oh baby heart full love desire come 've got started fire soul ca n't see 's burning , control come satisfy need 'cause good loving set free need right say need , , , need loving , baby please , please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go please , please n't go see , well n't want go see , love ca n't go stay ? stay , stay , stay baby please , yeah baby please",angry,0
ML727,"voy jugarme un albur con una baraja de oro que si lo gano ya estuvo si lo pierdo ni modo porque yo soy de los hombre que cuando pierdo lloro la mujeres son barajas hay que saber barajear pa ' saber cuál e la tuya , e la que va apostar ya después de perdido quieras volver jugar sí juegas sin malicia porque le tienes miedo esperando sota de oros te aparece un caballero dispense , mi buen amigo , e que yo llegué primero se agüite pariente quitío que mejorcitas la hemos deseado hay que aguantar la vara señor arriba la laguna seca el que lo quiera creer que le entre lo pantera pierde dinero mujer hasta la portamoneda' veces llega su casa con la camisa de fuera ni modo de reclamos porque yo llegué caballo estoy regando el rosal pa ' cortar la flor de mayo perdóneme , rey de copas , pero yo soy de caballo might also like sí juegas sin malicia porque le tienes miedo esperando sota de oros te aparece un caballero dispense , mi buen amigo , e que yo llegué primero",angry,0
ML1493,"total nightmare total nightmare want hear side ? need drown know time hurt fuck built wall blood show god save u god save u god hate u god hate u total nightmare total nightmare nothing heal one break pill role 's nothing take nothing trust one fake 'll find sooner 's best know place infiltrated mind lacerated soul took year , create , control left idea stole see avenged sevenfold liveget ticket low $ might also like god save u god save u god hate u god hate u total nightmare total nightmare lure , rape , kill love , hate , fear better take time better take slow 'cause seek one 's nothing left show total nightmare total nightmare total nightmare total nightmare",angry,0
ML902,"'re angel , 'm saint , would n't place tonight lost lonely , scared confused past , nothing lose , tonight well , cut like knife , bad luck blue got scar hell , oh somebody 's got ta win , somebody 's got ta lose let 's roll dice , one time take chance love tonight risk , lay line let skeleton fight life tonight , 'll hold tight , collide reconnected , feeling pain seeking shelter like spark rain , tonight worn weathered , scared go home 're together , still alone , tonight , oh 's need lie , 've abused love pain , cocaine booze people n't , people see kid rock liveget ticket low $ might also like let 's roll dice , one time take chance love tonight risk , lay line let skeleton fight life tonight , 'll hold tight , collide collide oh let 's roll dice , one time take chance love tonight risk , lay line let skeleton fight life tonight , 'll hold tight , collide collide , oh , collide collide , collide collide , collide collide ooh , collide collide , collide collideas collidemhm",angry,0
ML1208,"que paso que paso yolanda te busque te busque yolanda estás estás yolanda tus ojos miraron tus labios besaron con todo el fuego ardiente ardiente de mujer la luz de tu mirada el fuego de tus labios flecharona mi pecho de ti enamoré donde estas , donde estas yolanda que paso que paso yolanda te busque te busque yolanda estás estás yolanda donde estas , donde estas yolanda que paso que paso yolanda te busque te busque yolanda estás estás yolanda donde estas , donde estas yolanda que paso que paso yolanda te busque te busque yolanda estás estás yolanda might also likeme dicen que paseabas en un carro yolanda muy guapa arrogante todo te silbaban si un día te encontrara sé que puedo hacer se vuelvo loco su ya te vuelvo ver donde estas , donde estas yolanda que paso que paso yolanda te busque te busque yolanda estás estás yolanda donde estas , donde estas yolanda que paso que paso yolanda te busque te busque yolanda estás estás yolanda donde estas , donde estas yolanda que paso que paso yolanda te busque te busque yolanda estás estás yolanda",angry,0
ML1077,"ooh , ooh , ooh , ooh oh , yeah used cry sleep night came thought love hurt turn right 's 's , 's fill give love love 've ever seen 's 've got 's 've got world 's man need morning kiss eye take rock slow evening moon high hold close wo n't let go wo n't let go might also like fill give love love 've ever seen 's 've got 's 've got world 's man need fill give love love 've ever seen 's 've got 's 've got world 's man need fill give love , love , love , love , love 's 've got 's 've got world 's man , man woo",angry,0
ML1844,"must think naive taken true see want see avoid eye contact cost see fine teeth smiling 'm saying build city tear 'm saying 'm alone consequently dream satisfy real need heart resist say 's thousand like well , maybe 's true fell nobody else 'm standing lonesome learn laugh 'm saying build city tear 'm saying 'm alone consequently dream satisfy real need heart resist might also likei 'm saying build city tear 'm saying 'm alone fall falling , falling cause want take pleasure pain fall falling , falling laughing cause want take pleasure pain fall falling falling laughing falling laughing falling laughing",angry,0
ML1300,"oh , feeling get 'm take heart everything make sad lonely people walked road long know 'm one lucky people love making strong 've enough bad love need something proud 've enough bad love bad love see life blue heartache met 'm glad say behind side memory remind love keep alive see eric clapton liveget ticket low $ might also like",angry,0
ML735,"'ve got planet hand know 'll waste come let 's give twist turn shit oh wait , let 's try life 's short plan , let help understand first take drink pill relax mind still let 's find 'cause 'm american trash stupid american trash 'm american stupid american trash 've got planet hand yeah , 'll try save 'm satisfied n't care anyone else 'm united stand get fact tv believe everything read 's ignorant bliss whole fucking world want like might also like 'cause 'm american stupid american trash 'm american stupid american trash 'm american everyone 's shutting people worn wake , dream everyone 's shutting people worn wake , dream wake , dream wake 'm american stupid american trash 'm american stupid american trash 'm american trash",angry,0
ML661,"go little walk land 're walking holding hand take sign love wind fate keep blowing understand sign love 's sign love sign love silver hair little le time still rose vine take sign love look 'm looking long , long time first saw girl man music played watched dance might also like",angry,0
ML1164,"deep bottom ocean pure new born baby outshines sun 's pretty good love baby , love last long life body swear bible old time say 's pretty good love baby , please come home wan na put arm around squeeze till 're ol ' black cold cream 's way feel 's pretty good love ai n't nobody love like honey , know ai n't much look , wo n't win price come lovin ' 'll open eye baby , love got beggin ' pleading love need 's nothin ' would n't 's pretty good love might also likeai n't nobody love like honey , know ai n't much look , wo n't win price come lovin ' 'll open eye baby , love got beggin ' pleading see , love need 's nothin ' would n't 's pretty good love 's pretty good love 's pretty good love 's pretty good love",angry,0
ML162,"go away know heart stay love 's understood , 's hand love love good wo , wo-wo , wo wo , wo-wo , wo love good cupboard 's bare 'll still find something love 's understood , 's everywhere love love good wo , wo-wo , wo wo , wo-wo , wo love good oh oh , love , oh oh , love love hold key oh oh , love , oh oh , love love good might also like wo , wo-wo , wo wo , wo-wo , wo love good n't ever ask never say goodbye love 's understood , 's everywhere love love good , woah wo , wo-wo , wo wo , wo-wo , wo love good oh oh , love , oh oh , love love good wo , wo , wo , wo wo oh , wo oh , wo",angry,0
ML763,"every single thing try 're always lend helping hand , dear love 're matter world may say know love always see love way never doubt , love 'cause 're matter world may say know love always see love hundred thousand reason , love 'cause 're youyou might also like",angry,0
ML580,"took lightly like quiet boosting piece candy favorite neighborhood corner store surely shoulda saw weight heavy burden carry bare soiled slate n't wan na thing ca n't blame take look ca n't name 'em cause shook took wit-protect stay kin boy fuck around b'more make look like 're white harlem shaking contest harness fondest crook phonics fuck grammar , ill-mannered n't start spank tell look like , tell tell look like , tell awww ease motherfucker , take breath look beat , 'm 're le oh ease motherfucker , take breath look beat , suggest take rest might also like ca n't say wo n't stretch height might want stay toe secure full view skewed vision condition lead assume assume 'm feeling uneasy pattern broken shared thought gut n't even believe sleep n't relieve , 's like doom conceived got whole lot something , yet constantly feel like nothing much , average much acclaimed moving nigga 'm really touched drinking ? thinking ? tell look like , tell tell look like , tell tell look like , tell tell look like , tell tell ... 'm sick , 'll stick end nigga gon na get tell look like , tell tell look like , tell tell ... 'm sick , stick end nigga gon na get tell look like , tell tell look like , tell tongue drum mind ’ machine non dreamer 's far fantastic extreme fall victim think tank-m sound , sharp , fixed , fit , creased , greased , clean tell look like , tell tell look like , tell tell look like , tell tell look like , tell tell ... 'm sick , 'll stick end nigga gon na get tell look like , tell tell look like , tell tell look like , tell tell ... 'm sick , 'll stick end nigga gon na get 'm sick , 'll stick end nigga gon na get 'm sick , 'll stick end nigga gon na get",angry,0
ML856,"n't care need hand assure help got two strong arm , help would sure good good let help 's fact people get lonely ai n't nothing new woman like , baby never blue let help got two , let help would sure good good let help go sleep night 're always part dream holding tight telling everything wan na hear n't forget , baby got ta call know feel ya anything might also likelet help child need daddy , help would sure good good let help go sleep night 're always part dream holding tight telling everything wan na hear n't forget , baby got ta call know feel anything let help child need daddy , help would sure good good let help",angry,0
