song_id,lyrics,Mood,Mood_encod
ML1,"yeah ... right ... usher baby ... okay , yeah man right ... ( turn lights ) goes baby ( oooh , girl , look ) n't know good feels call girl goes baby loving everything oooh , girl , look bet ai n't know checking putting heels swear , body 's perfect , baby work , baby yeah , wooo ! love way poking , girl give something feel please believe gone twerking end night , baby 've waiting day wrap hands around waist kiss face would n't trade feeling nothing ( even minute ) 'll sit long takes get alone soon come walking way gon ' hear say see usher liveget tickets low $ might also like goes baby ( oooh , girl , look ) n't know good feels call girl goes baby loving everything oooh , girl , look get chills whenever see face place , girl feel like 'm movie , baby 'm like , `` oowee , baby '' like waterfalls , hair falls waist get taste , girl ? need creep , 'cause baby , ai n't ashamed calling name , girl 've waiting day wrap hands around waist kiss face would n't trade feeling nothing even minute 'll sit long takes get alone soon come walking way gon ' hear say goes baby ( oooh , girl , look ) n't know good feels call girl goes baby loving everything oooh , girl , look girl , feel like 's first time every time get together baby , loving feels better everything , anything put heart , n't need ring promise time away wo n't change love goes baby ( oooh , girl , look ) n't know good feels call girl goes baby loving everything oooh , girl , look goes baby ( oooh , girl , look ) n't know good feels call girl goes baby loving everything oooh , girl , look",relaxed,2
ML10,"well like menace society hahaha biggin ' fi di ghetto ladies ( girls ! ) bruk gwan crazy ( big tip ! ) sing along ! gim gyal dem wickedest slam kinda gyal weh know fi love man man , waan fi get medal haffi get slam real ghetto gyal ( ) gim gyal dem wickedest slam kinda gyal weh know fi love man man , waan fi get medal haffi get slam real ghetto gyal ( boy ! ) man , never get pedal wheel 've never banana peeled man , haffi know good loving feel haffi find gyal weh live maxfield ! man , love girlfriend heart nah get slam weh want whole heap things gwan hide go look junglist girl pon side 'cause ! might also like ghetto gyal wickedest slam kinda gyal weh know fi love man man , waan fi get medal haffi get slam real ghetto gyal ( ) gim gyal dem wickedest slam kinda gyal weh know fi love man man , waan fi get medal haffi get slam real ghetto gyal 'cause nah go wife girl bow gyal inna bed nuh know nah go wrinkle screw done mi gyal seaview nah go run go get uptown girl true brown pretty like pearl true know mama man run world coulda find girl 's named earl man , ghetto girl , unuh fi proud ! although might-a look kinda loud comes run road ghetto girl dem move crowd ! gim girl dem wickedest slam kinda gyal weh know fi love man man , waan fi get medal haffi get slam real ghetto gyal ( ) gim gyal dem wickedest slam kinda gyal weh know fi love man man , waan fi get medal haffi get slam real ghetto gyal ( man ! ) never get pedal wheel 've never banana peeled waan fi know good loving feel haffi find gyal weh live maxfield ! man , love girlfriend heart nah get slam weh want whole heap things gwan hide go look junglist girl pon side ! ghetto gyal dem wickedest slam kinda gyal weh know fi love man man , waan fi get medal haffi get slam real ghetto gyal ...",relaxed,2
ML100,"one , two , one , two , three , four well , take whatever want , baby , want give something need tell got something come come come come and-uh ca n't get enough love ca n't get enough love ca n't get enough love listen well , 's late , want love love 's gon na break two n't hang doorway n't hang like , say ! might also like come come come come , come , , woo ! ca n't get enough love ca n't get enough love ca n't get enough love well , say ! ca n't get enough love ca n't get enough love ca n't get enough love say , aah ca n't get enough love ca n't get enough love ca n't get enough love 've got tell ya baby , love much ca n't get enough love love much ca n't get enough love ca n't get enough love mmm , know 'm saying baby ca n't get enough love ca n't get enough , enough love ca n't get enough , enough love ca n't get enough love , yeah ! woo ! ah , come , baby ! come right ! oh oh oh oh ...",relaxed,2
ML1000,"well , someone told yesterday throw love away act n't care look 're going somewhere ca n't convince could n't live one else play part sit nurse broken heart lonely , lonely , lonely , lonely lonely , lonely , lonely lonely , lonely , lonely lonely , lonely one 's knocked upon door thousand years made nowhere go welcome one-man show take seat , 're always free surprise , mystery theatre call soul always play starring role might also like lonely , lonely , lonely , lonely lonely , lonely , lonely lonely , lonely , lonely lonely , lonely lonely , lonely , lonely , lonely lonely , lonely , lonely lonely , 'm lonely feel alone feel low , feel feel low feel low , low feel low , low , low feel low , low , low feel low , low , low feel low , low , low feel low , low , low low , feel low feel low feel low feel lonely feel lonely feel lonely , lonely , lonely , lone lone , lone , lone feel lonely lonely , lonely , lonely ( feel alone ) lonely ( feel alone ) lonely ( feel lonely ) lonely ( feel alone ) lonely ( feel alone ) lonely ( feel lonely ) lonely ( feel alone ) lonely ( feel alone ) lonely ( feel lonely ) lonely ( feel alone ) lonely ( feel alone ) lonely ( feel lonely ) lonely ( feel alone ) lonely ( feel alone ) lonely ( feel lonely ) lonely ( feel alone ) lonely ( feel alone ) lonely ( feel lonely ) lonely ( feel alone ) lonely",relaxed,2
ML1001,"cheeks flushed , apple red ringing every day begging word praise 've put aside foolish games run hide callin ' names school 's , bells 'll ring 's time teach everything teacher , teacher , teach love ca n't learn fast enough teacher , teacher , teach 've got learn love sure lesson one , begun growing ai n't much fun grown , school luck rules one tell different world , teacher teach teacher , teacher , teach love ca n't learn fast enough teacher , teacher , teach 've got learn love sure might also likelesson two , nothing new ca n't love , passing books read n't understand means man need woman like teacher , teacher , teach teacher , teacher , teach love ca n't learn fast enough teacher , teacher , teach 've got learn love sure teacher , teacher , teach love ca n't learn fast enough teacher , teacher , teach 've got learn love sure teacher , teacher , teach love ca n't learn fast enough",angry,0
ML1002,"n't want shy , ca n't stand anymore want say 'hi ' one love cherry blossom girl feel sick day long want go every night cherry blossom girl tell ca n't true never talk , people say pray every day moment come cherry blossom girl want sure come time gone , side cherry blossom girl tell ca n't true tell ca n't true cherry blossom girl cherry blossom girl might also like 'll never love , say ? run away try true cherry blossom girl cherry blossom girl , 'll always means time waste , whenever 's chance cherry blossom girl tell ca n't true tell ca n't true",happy,1
ML1003,"well , come let 's go , let 's go , let 's go , little darling tell 'll never leave come , come , let 's go , , well , swing , swing , swing way come , let 's go , little darling let 's go , let 's go well , love , yeah 'll never let go come , baby , oh , pretty baby , love well , let 's go , let 's go , let 's go , little sweetheart always together come , come , let 's go let 's go love , yeah 'll never let go come , baby , oh , pretty baby , love see los lobos liveget tickets low $ might also like well , let 's go , let 's go , let 's go , little darling tell 'll never leave come , come , let 's go , , come , let 's go , , , , come , let 's go",angry,0
ML1004,"like said would life goes easy time shorter story love , glory hero skies ca n't take eyes ca n't take eyes ca n't take eyes ca n't take eyes ca n't take eyes ca n't take eyes like said 'll forget breeze time see damien rice liveget tickets low $ might also like colder water blower 's daughter pupil denial ca n't take eyes ca n't take eyes ca n't take eyes ca n't take eyes ca n't take eyes ca n't take eyes oh , say loathe ? say want leave behind ? ca n't take mind ca n't take mind ca n't take mind ca n't take mind ca n't take mind ca n't take mind mind mind ... till find somebody new",angry,0
ML1005,give praise done much bless holy name holy father one like bless name bless name bless name forevermore give glory give praise done much bless holy name holy father one like bless name bless name bless name forevermore give glory give praise lord done much bless holy name holy father one like bless name bless name bless name bless name bless name bless name bless name bless name bless name bless name bless name forevermoreyou might also like,happy,1
ML1006,"sweetest memory playing key lover ? melo lover ? melody , love ? melody sweetest memory playing key lover ? melody lover ? melody sweetest memory playing key lover ? melo lover ? melody , love ? melody sweetest memory playing key lover ? melody grabbing shining star memory things see downing liveget tickets low $ might also likelover ? melody sweetest memory playing key lover ? melo lover ? melody , love ? melody sweetest memory playing key lover ? melody lover ? melody sweetest memory playing key lover ? melody lover ? melody , love ? melody sweetest memory playing key lover ? melo lover ? melody",relaxed,2
