song_id,lyrics,Mood,Mood_encod
ML1,"yeah... right...
usher baby... okay, yeah man
right... 

there goes my baby

you don't know how good it feels to call you my girl
loving everything you do
oooh, girl, look at you

bet you ain't know that i be checking you out when you be putting your heels on
i swear, your body's so perfect, baby
how you work it, baby yeah, wooo!
i love the way that you be poking it out, girl
give me something to feel on
so please believe we gone be twerking it out
by the end of the night, baby

i've been waiting all day to wrap my hands
around your waist and kiss your face
wouldn't trade this feeling for nothing

and i'll sit here long as it takes
to get you all alone
but as soon as you come walking my way
you gon' hear me say
see usher liveget tickets as low as $you might also like

i get the chills whenever i see your face and you in the place, girl
feel like i'm in a movie, baby
i'm like, ""oowee, baby""
like waterfalls, your hair falls down to your waist
can i get a taste, girl?
no need to creep, 'cause baby, i ain't ashamed
of calling your name, girl
not even for a minute

and girl, i feel like it's our first time every time we get together
baby, loving you feels better than
everything, anything
put on my heart, you don't need a ring
and i promise
our time away won't change my love",relaxed,2
ML10,"well this is like a menace to the society
hahaha
biggin' up fi all di ghetto ladies 
bruk out and gwan crazy 
sing along so!


gimme the gyal dem with the wickedest slam
the kinda gyal weh know how fi love up she man
man, if you waan fi get the medal
you haffi get a slam from a real ghetto gyal 
you haffi get a slam from a real ghetto gyal 

man, if you never get a pedal and wheel
and if you've never had your banana peeled
man, if you haffi know how good loving feel
you haffi find a gyal weh live at maxfield!
man, if you love your girlfriend to your heart
but you nah get the slam weh you want
whole heap of things can gwan if you hide
go look a junglist girl pon the side
'cause!
you might also like
a ghetto gyal have up the wickedest slam
you haffi get a slam from a real ghetto gyal

'cause
me nah go wife up no girl if she bow
gyal inna bed and she nuh know what to do
but me nah go wrinkle and screw
because me done have mi gyal at seaview
me nah go run go get no uptown girl
true she brown and she pretty like pearl
true me know a mama man run the world
you coulda find out your girl's named earl
man, if you have a ghetto girl, unuh fi proud!
although she might-a look kinda loud
but when it comes down to who run the road
a ghetto girl dem a move with the crowd
so!
gimme the girl dem with the wickedest slam
you haffi get a slam from a real ghetto gyal 
if you never get a pedal and wheel
you waan fi know how good loving feel
a ghetto gyal dem a the wickedest slam
you haffi get a slam from a real ghetto gyal...",relaxed,2
ML100,"one, two, one, two, three, four


well, i take whatever i want
and, baby, i want you
you give me something i need
now tell me i got something for you

come on
come on and do it
come on and-uh do what you do

i can't get enough of your love
listen

well, it's late, and i want love
love that's gonna break me in two
don't you hang me up in your doorway
don't you hang me up like you do, say it!
you might also like
come on, come on, do what you do, woo!

well, i say now!

say it again, aah
i've got to tell ya baby, that i
i love you so much i can't get enough of your love
mmm, you know what i'm saying baby
i can't get enough, enough of your love
i can't get enough of your love, yeah!
woo! ah, come on, baby!
come over here right now!
oh oh oh oh...",relaxed,2
ML1000,"well, someone told me yesterday
that when you throw your love away
you act as if you just don't care
you look as if you're going somewhere
but i just can't convince myself
i couldn't live with no one else
and i can only play that part
and sit and nurse my broken heart


so lonely, so lonely, so lonely, so lonely
so lonely, so lonely, so lonely
so lonely, so lonely

now no one's knocked upon my door
for a thousand years or more
all made up and nowhere to go
welcome to this one-man show
just take a seat, they're always free
no surprise, no mystery
in this theatre that i call my soul
i always play the starring role
you might also like

lonely, so lonely, so lonely, so lonely

lonely, i'm so lonely
i feel so alone
i feel low, i feel so
feel so low
i feel low, low
i feel low, low, low
low, i feel low
i feel low
i feel so lonely
i feel so lonely, lonely, lonely, lone
lone, lone, lone
 so lonely
 so lonely",relaxed,2
ML1001,"cheeks flushed, apple red
ringing you every day
begging for a word of praise
i've put aside my foolish games
i run and hide and callin' names
school's out, the bells'll ring
now's the time to teach me everything

teacher, teacher, teach me love
i can't learn it fast enough
teacher, teacher, teach me more
i've got to learn to love for sure
lesson one, just begun
growing up ain't much fun
grown up, out of school
out of luck and out of rules
no one there to tell me how
a different world, teacher teach me now
you might also likelesson two, nothing new
i can't love, just passing through
books i read don't understand
what it means to be a man
i need a woman just like you
teacher, teacher, teach me what to do
i can't learn it fast enough",angry,0
ML1002,"i don't want to be shy, can't stand it anymore
i just want to say 'hi' to the one i love
cherry blossom girl
i feel sick all day long from not being with you
i just want to go out every night for a while


tell me why can't it be true

i never talk to you, people say that i should
i can pray every day for the moment to come
i just want to be sure when i will come to you
when the time will be gone, you will be by my side

you might also like
i'll never love again, can i say that to you?
will you run away if i try to be true
cherry blossom girl, i'll always be there for you
that means no time to waste, whenever there's a chance",happy,1
ML1003,"well, come on let's go, let's go, let's go, little darling
tell me that you'll never leave me
come on, come on, let's go
and again, and again, and again


well, now swing me, swing me, swing me way down there
come on, let's go, little darling
let's go, let's go again once more

well, i love you so, yeah
and i'll never let you go
come on, baby, so
oh, pretty baby, i love you so

well, let's go, let's go, let's go, little sweetheart
and now that we can always be together
come on, come on, let's go again
let's go

i love you so, yeah
see los lobos liveget tickets as low as $you might also like
well, let's go, let's go, let's go, little darling

come on, let's go and do it again
again, and again, and again
and then again, and again, and again
come on, let's go and do it again",angry,0
ML1004,"and so it is
just like you said it would be
life goes easy on me
most of the time


the shorter story
no love, no glory
no hero in her skies

i can't take my eyes off of you
i can't take my eyes

just like you said it should be
we'll both forget the breeze
see damien rice liveget tickets as low as $you might also like
the colder water
the blower's daughter
the pupil in denial

oh, did i say
that i loathe you?
did i say that i want to
leave it all behind?

i can't take my mind off of you
my mind
my mind...
till i find somebody new",angry,0
ML1005,"it is to you i give the praise
for you have done so much for me
and i will bless your holy name
it is to you holy father no one like you
and i will bless your name
bless your name
bless your name forevermore

it is to you i give the glory
and i will bless your name forevermore
lord you have done so much for me
bless your name forevermoreyou might also like",happy,1
ML1006,"sweetest memory
playing in the key
of you and me
lover?s melo

lover?s melody, love?s melody
lover?s melody
grabbing the shining star
memory is all the things you are
see will downing liveget tickets as low as $you might also likelover?s melody
lover?s melody",relaxed,2
