song_id,lyrics,Mood,Mood_encod
ML1,"yeah ... right ... usher babi ... okay , yeah man right ... there goe babi you n't know good feel call girl love everyth oooh , girl , look bet ai n't know i check put heel i swear , bodi 's perfect , babi how work , babi yeah , wooo ! i love way poke , girl give someth feel so pleas believ gone twerk by end night , babi i 've wait day wrap hand around waist kiss face would n't trade feel noth and i 'll sit long take to get alon but soon come walk way you gon ' hear say see usher liveget ticket low $ you might also like i get chill whenev i see face place , girl feel like i 'm movi , babi i 'm like , `` oowe , babi '' like waterfal , hair fall waist can i get tast , girl ? no need creep , 'caus babi , i ai n't asham of call name , girl not even minut and girl , i feel like 's first time everi time get togeth babi , love feel better everyth , anyth put heart , n't need ring and i promis our time away wo n't chang love",relaxed,2
ML10,"well like menac societi hahaha biggin ' fi di ghetto ladi bruk gwan crazi sing along ! gim gyal dem wickedest slam the kinda gyal weh know fi love man man , waan fi get medal you haffi get slam real ghetto gyal you haffi get slam real ghetto gyal man , never get pedal wheel and 've never banana peel man , haffi know good love feel you haffi find gyal weh live maxfield ! man , love girlfriend heart but nah get slam weh want whole heap thing gwan hide go look junglist girl pon side 'caus ! you might also like a ghetto gyal wickedest slam you haffi get slam real ghetto gyal 'caus me nah go wife girl bow gyal inna bed nuh know but nah go wrinkl screw becaus done mi gyal seaview me nah go run go get uptown girl true brown pretti like pearl true know mama man run world you coulda find girl 's name earl man , ghetto girl , unuh fi proud ! although might-a look kinda loud but come run road a ghetto girl dem move crowd so ! gim girl dem wickedest slam you haffi get slam real ghetto gyal if never get pedal wheel you waan fi know good love feel a ghetto gyal dem wickedest slam you haffi get slam real ghetto gyal ...",relaxed,2
ML100,"one , two , one , two , three , four well , i take whatev i want and , babi , i want you give someth i need now tell i got someth come come come and-uh i ca n't get enough love listen well , 's late , i want love love 's gon na break two do n't hang doorway do n't hang like , say ! you might also like come , come , , woo ! well , i say ! say , aah i 've got tell ya babi , i i love much i ca n't get enough love mmm , know i 'm say babi i ca n't get enough , enough love i ca n't get enough love , yeah ! woo ! ah , come , babi ! come right ! oh oh oh oh ...",relaxed,2
ML1000,"well , someon told yesterday that throw love away you act n't care you look 're go somewher but i ca n't convinc i could n't live one els and i play part and sit nurs broken heart so lone , lone , lone , lone so lone , lone , lone so lone , lone now one 's knock upon door for thousand year all made nowher go welcom one-man show just take seat , 're alway free no surpris , mysteri in theatr i call soul i alway play star role you might also like lone , lone , lone , lone lone , i 'm lone i feel alon i feel low , i feel feel low i feel low , low i feel low , low , low low , i feel low i feel low i feel lone i feel lone , lone , lone , lone lone , lone , lone so lone so lone",relaxed,2
ML1001,"cheek flush , appl red ring everi day beg word prais i 've put asid foolish game i run hide callin ' name school 's , bell 'll ring now 's time teach everyth teacher , teacher , teach love i ca n't learn fast enough teacher , teacher , teach i 've got learn love sure lesson one , begun grow ai n't much fun grown , school out luck rule no one tell a differ world , teacher teach you might also likelesson two , noth new i ca n't love , pass book i read n't understand what mean man i need woman like teacher , teacher , teach i ca n't learn fast enough",angry,0
ML1002,"i n't want shi , ca n't stand anymor i want say 'hi ' one i love cherri blossom girl i feel sick day long i want go everi night tell ca n't true i never talk , peopl say i i pray everi day moment come i want sure i come when time gone , side you might also like i 'll never love , i say ? will run away i tri true cherri blossom girl , i 'll alway that mean time wast , whenev 's chanc",happy,1
ML1003,"well , come let 's go , let 's go , let 's go , littl darl tell 'll never leav come , come , let 's go and , , well , swing , swing , swing way come , let 's go , littl darl let 's go , let 's go well , i love , yeah and i 'll never let go come , babi , oh , pretti babi , i love well , let 's go , let 's go , let 's go , littl sweetheart and alway togeth come , come , let 's go let 's go i love , yeah see lo lobo liveget ticket low $ you might also like well , let 's go , let 's go , let 's go , littl darl come , let 's go again , , and , , come , let 's go",angry,0
ML1004,"and just like said would life goe easi most time the shorter stori no love , glori no hero sky i ca n't take eye i ca n't take eye just like said we 'll forget breez see damien rice liveget ticket low $ you might also like the colder water the blower 's daughter the pupil denial oh , i say that i loath ? did i say i want leav behind ? i ca n't take mind my mind my mind ... till i find somebodi new",angry,0
ML1005,it you i give prais for you done much and i bless your holi name it you holi father one like you and i bless your name bless your name bless your name forevermor it you i give glori and i bless your name forevermor lord you done much bless your name forevermorey might also like,happy,1
ML1007,"shit ’ nigga ’ wan na stay lane i ’ alright i ’ good i ’ complain ‘ bout piec pussi go grain the sun shine i ’ prepar rain you mad i ’ late glad i came that ’ blood shirt bitch i ’ cover stain like let explain no batman robin i realli rob like i ’ option stick kid rob plug i ’ run play like auction if i fuck around get jam would write ? would make sure commissari straight ’ unlik i ’ even know i bother ask i might grab k spaz i realli ’ give nigga last if i bad , would ride ‘ til wheel fell expir tag ? i lost brother hurt but hurt wors is watch mother shed tear ‘ caus oldest child hears but ’ half shit get deeper i hide pain like i ’ hold strong realli , i ’ get weaker weaker weaker i come sens get shit togeth pop perki i feel littl better devil tri take ’ let you run pain but damn sure ’ hide ‘ caus i promis ’ gone eat yo ’ ass insid i got three daughter i got ta provid ain ’ pressur like ’ appli mari j blige gon na cri know fight live die you might also likechoru an i swear shit ’ sinc i lost brother i ’ tri hide pain ’ like still see live color an i swear i lost ‘ caus you ’ could tell thing gon na better i swallow pride i wipe eye i said i ’ gone cri not front daughter got ta set exampl i ’ lie i tri i broke ’ hold insid we fight live die an i ’ lie shit ’ like use an usual i ’ let next nigga influenc sinc brother told money talk it like i speak fluentli run past catch gone vers those cold night cell no visit sunni day precipit fifteen minut phone call wast in midst fight case i realiz fuck gone babi nobodi onli strong surviv make mind decid you fell love like bonni clyde i ran check i ’ full stride you one day gone next don ’ someth know gone regret i ’ get tell brother i love now i ’ mad world , upset i thank god i made twenti odd year rip run street go bad crazi i feel like tyres gibson i ’ wast deep speak next man situat ’ one hunna ’ the devil devour flower heart crumbl i ’ fuck around go crazi whi live ? whi die ? what purpos ? suicid thought like shit realli worth what fuck i deserv hold ya head high bullshit start surfac i ’ tri stay strong mama shit ’ work choru run past catch gone",relaxed,2
ML1008,"pour heart him power belongeth god god spoken and twice i heard who search hi understand hi thought higher all power 's hi hand life he plan god salvat we find refug him power belong , power belong god great god almighti and he strong battl power belong god although host encamp encamp surround i shall afraid terror night nor arrow day i 'm persuad come may you might also likeand troubl behind i 've got great joy i shall , i shall afraid terror night and troubl behind power belong god there noth hard god noth hard god noth hard , noth hard god power belong god",happy,1
ML1009,"mayb oughta think twice befor start someth nice no need sacrific spice live , ooh ooh your love 's like fire ice , pretti babi that 's oughta think twice think twice , think twice i realli love you know i you know 's true your love 's like fire ice you might also like said i realli love i said i realli love you know i love , babi you know i , think twice i realli love , babi you know 's true , think twice you know i , think twice",relaxed,2
ML101,"onli love make rain the way beach kiss sea like sweat lover lay field love , reign o'er rain onli love bring rain that make yearn sky that fall like tear high rain , rain you might also like on dri dusti road the night spend apart alon i need get back home cool , cool rain i ca n't sleep i lay i think the night hot black ink oh god , i need drink cool , cool rain reign o'er , o'er , o'er , whoa o'er love",happy,1
ML1010,"fire bayou down new orlean , lucki 's din he would n't deal y'all th gin one dude want bottl wine hit dude ye dollar dime take littl toke smoke buy bottl wine cool , cool wine go throat do n't tri tell n't make feel fine i got nickel , got dime let 's get togeth good time goin ' buy fifth , go buy joint when gettin ' , doin ' thing right '' you might also like '' i got swamp water runnin ' vein the mississippi river ca n't tame i pole pirogu middl night i 'm uptown ruler , i right ''",happy,1
ML1011,"let take place i know want go it 's good life i wan na stand around beg just n't say no , i got feel 're gon na like what i 'm and i 'm i 'm i 'll want love shine life thrive good life good life a feel get good life onc get good life feel let tell one take away no bad time onli glad time good life you might also like when groov rock noth feel good good life i want want to want good life night no raini day the sun chase cloud away in good life no sorrow noth borrow good life",happy,1
ML1014,"littl girl , n't understand ? i wan na love man all , i n't want one love i wan na love you 'll find littl girl know do n't know i 'm love meet parlor 'bout half past one we go fun all ourself , ourself we n't need nobodi us we gon na ourself you might also like we gon na ourself we n't want one love we love",sad,3
ML1015,"whoa , 're beauti more eye see your hair blowin ' wind i n't know love end stardust sky i either love die i 've got ta life i realli wan na make wife , ooh you got love i need , babi oh , friend the truth i know oh , taught thing i never thought i 'd know darlin ' , , yeah through strangest time oh , must meant my kind littl love mine you might also like stardust blowin ' wind i like lovin ' , i 'll never , never , never let go you got love i need , babi you got love i need , babi",happy,1
ML1016,"your love , mean world word could express joy bring your love move tenderli to side mean everyth , i sing your love best if i could give would settl love , settl kiss settl love , 'll never miss so give , darl , take hand settl kiss 'caus 's i give and like ocean wide love run deep your love , move tenderli yeah , like bird outsid window sing ooh , 'caus 's i give i ca n't bring preciou star paradis and thing realli mind all i give love true from heart your love , mean world no word , word express joy bring your love best if i could give everyth settl love settl love settl love settl love settl love settl love settl love settl love settl love",happy,1
ML102,"down hole , emot hard hide it 's decis , 's chanc take it 's head , 's habit 's hard break do need friend ? would tell lie ? would take ? are lone dark ? in dark you never listen voic insid they fill ear run place hide you 're never sure illus real you pinch memori feel can break away from alibi ? can make play ? oh , meet dark ? you might also likedon'tcha need , hey , hey don'tcha need , oh yeah don'tcha leav , hey , hey you take interest , opinion 's dear you make round , oh , tri sincer you guard hope pocket dream you 'd trade avoid unpleas scene can face fire when see ? can feel fire ? will love dark ? in dark",angry,0
ML1021,"i n't want know 're wear there black diamond eye and know skin scale have fuck stray kid yet ? they 're sleep backyard they 're look one except smoke good fun with dog wive new son and probabl never hug 'caus 's never realli found love just woman alway love just unhappi man and i , i found we 're sleep around hi daughter use come with daughter husband now one see husband 'caus ass caught harvest and pant got good fill i know sun beneath window sill you might also likewel i joke lemonad i told get fuck get laid now say man 's got tast who 's realli got potenti except procreat inessenti all realli want love",angry,0
