song_id,lyrics,Mood,Mood_encod
ML1,"yeah right
usher baby okay yeah man
right
there go baby
you know good feel call girl
there go baby
loving everything
oooh girl look
bet ain't know i checking putting heel
i swear body's perfect baby
how work baby yeah wooo
i love way poking girl
give something feel
so please believe gone twerking
by end night baby
i've waiting day wrap hand
around waist kiss face
wouldn't trade feeling nothing
and i'll sit long take
to get alone
but soon come walking way
you gon' hear say
see usher liveget ticket low
there go baby
you know good feel call girl
there go baby
loving everything
oooh girl look
i get chill whenever i see face place girl
feel like i'm movie baby
i'm like oowee baby
like waterfall hair fall waist
can i get taste girl
no need creep 'cause baby i ain't ashamed
of calling name girl
i've waiting day wrap hand
around waist kiss face
wouldn't trade feeling nothing
not even minute
and i'll sit long take
to get alone
but soon come walking way
you gon' hear say
there go baby
you know good feel call girl
there go baby
loving everything
oooh girl look
and girl i feel like first time every time get together
baby loving feel better
everything anything
put heart need ring
and i promise
our time away change love
there go baby
you know good feel call girl
there go baby
loving everything
oooh girl look
there go baby
you know good feel call girl
there go baby
loving everything
oooh girl look",relaxed,2
ML10,"well like menace society
hahaha
biggin' fi di ghetto lady
bruk gwan crazy
sing along
gimme gyal dem wickedest slam
the kinda gyal weh know fi love man
man waan fi get medal
you haffi get slam real ghetto gyal
gimme gyal dem wickedest slam
the kinda gyal weh know fi love man
man waan fi get medal
you haffi get slam real ghetto gyal
man never get pedal wheel
and never banana peeled
man haffi know good loving feel
you haffi find gyal weh live maxfield
man love girlfriend heart
but nah get slam weh want
whole heap thing gwan hide
go look junglist girl pon side
'cause
a ghetto gyal wickedest slam
the kinda gyal weh know fi love man
man waan fi get medal
you haffi get slam real ghetto gyal
gimme gyal dem wickedest slam
the kinda gyal weh know fi love man
man waan fi get medal
you haffi get slam real ghetto gyal
'cause
me nah go wife girl bow
gyal inna bed nuh know
but nah go wrinkle screw
because done mi gyal seaview
me nah go run go get uptown girl
true brown pretty like pearl
true know mama man run world
you coulda find girl's named earl
man ghetto girl unuh fi proud
although mighta look kinda loud
but come run road
a ghetto girl dem move crowd
so
gimme girl dem wickedest slam
the kinda gyal weh know fi love man
man waan fi get medal
you haffi get slam real ghetto gyal
gimme gyal dem wickedest slam
the kinda gyal weh know fi love man
man waan fi get medal
you haffi get slam real ghetto gyal
if never get pedal wheel
and never banana peeled
you waan fi know good loving feel
you haffi find gyal weh live maxfield
man love girlfriend heart
but nah get slam weh want
whole heap thing gwan hide
go look junglist girl pon side
so
a ghetto gyal dem wickedest slam
the kinda gyal weh know fi love man
man waan fi get medal
you haffi get slam real ghetto gyal",happy,1
ML100,"one two one two three four
well i take whatever i want
and baby i want
you give something i need
now tell i got something
come
come
come
come anduh
i can't get enough love
i can't get enough love
i can't get enough love
listen
well late i want love
love that's gonna break two
don't hang doorway
don't hang like say
come
come
come
come come woo
i can't get enough love
i can't get enough love
i can't get enough love
well i say
i can't get enough love
i can't get enough love
i can't get enough love
say aah
i can't get enough love
i can't get enough love
i can't get enough love
i've got tell ya baby i
i love much i can't get enough love
i love much i can't get enough love
i can't get enough love
mmm know i'm saying baby
i can't get enough love
i can't get enough enough love
i can't get enough enough love
i can't get enough love yeah
woo ah come baby
come right
oh oh oh oh",sad,3
ML1000,"well someone told yesterday
that throw love away
you act care
you look going somewhere
but i can't convince
i live one else
and i play part
and sit nurse broken heart
so lonely lonely lonely lonely
so lonely lonely lonely
so lonely lonely lonely
so lonely lonely
now one's knocked upon door
for thousand year
all made nowhere go
welcome oneman show
just take seat they're always free
no surprise mystery
in theatre i call soul
i always play starring role
so lonely lonely lonely lonely
so lonely lonely lonely
so lonely lonely lonely
so lonely lonely
lonely lonely lonely lonely
so lonely lonely lonely
lonely i'm lonely
i feel alone
i feel low i feel
feel low
i feel low low
i feel low low low
i feel low low low
i feel low low low
i feel low low low
i feel low low low
low i feel low
i feel low
i feel low
i feel lonely
i feel lonely
i feel lonely lonely lonely lone
lone lone lone
i feel lonely
so lonely lonely lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely
so lonely",angry,0
ML1001,"cheeks flushed apple red
ringing every day
begging word praise
i've put aside foolish game
i run hide callin' name
school's bells'll ring
now's time teach everything
teacher teacher teach love
i can't learn fast enough
teacher teacher teach
i've got learn love sure
lesson one begun
growing ain't much fun
grown school
out luck rule
no one tell
a different world teacher teach
teacher teacher teach love
i can't learn fast enough
teacher teacher teach
i've got learn love sure
i can't love passing
books i read understand
what mean man
i need woman like
teacher teacher teach
teacher teacher teach love
i can't learn fast enough
teacher teacher teach
i've got learn love sure
teacher teacher teach love
i can't learn fast enough
teacher teacher teach
i've got learn love sure
teacher teacher teach love
i can't learn fast enough",angry,0
ML1002,"i want shy can't stand anymore
i want say 'hi' one i love
cherry blossom girl
i feel sick day long
i want go every night
cherry blossom girl
tell can't true
i never talk people say i
i pray every day moment come
cherry blossom girl
i want sure i come
when time gone side
cherry blossom girl
tell can't true
tell can't true
cherry blossom girl
cherry blossom girl
i'll never love i say
will run away i try true
cherry blossom girl
cherry blossom girl i'll always
that mean time waste whenever there's chance
cherry blossom girl
tell can't true
tell can't true",relaxed,2
ML1003,"well come let's go let's go let's go little darling
tell never leave
come come let's go
and
well swing swing swing way
come let's go little darling
let's go let's go
well i love yeah
and i'll never let go
come baby
oh pretty baby i love
well let's go let's go let's go little sweetheart
and always together
come come let's go
let's go
i love yeah
and i'll never let go
come baby
oh pretty baby i love
see los lobos liveget ticket low
well let's go let's go let's go little darling
tell never leave
come come let's go
and
come let's go
again
and
come let's go",relaxed,2
ML1004,"and
just like said would
life go easy
most time
and
the shorter story
no love glory
no hero sky
i can't take eye
i can't take eye
i can't take eye
i can't take eye
i can't take eye
i can't take eye
and
just like said
we'll forget breeze
most time
see damien rice liveget ticket low
and
the colder water
the blower's daughter
the pupil denial
i can't take eye
i can't take eye
i can't take eye
i can't take eye
i can't take eye
i can't take eye
oh i say
that i loathe
did i say i want
leave behind
i can't take mind
i can't take mind
i can't take mind
i can't take mind
i can't take mind
i can't take mind
my mind
my mind
till i find somebody new",angry,0
ML1005,"it you i give praise
for you done much
and i bless your holy name
it you holy father one like you
and i bless your name
bless your name
bless your name forevermore
it you i give glory
it you i give praise
for you done much
and i bless your holy name
it you holy father one like you
and i bless your name
bless your name
and i bless your name forevermore
it you i give glory
it you i give praise
lord you done much
and i bless your holy name
it you holy father one like you
and i bless your name
bless your name
and i bless your name
bless your name
and i bless your name
bless your name
and i bless your name
bless your name
bless your name
bless your name
bless your name forevermore",happy,1
ML1006,"sweetest memory
playing key
of
lovers melo
lovers melody love melody
sweetest memory
playing key
of
lovers melody
lovers melody
sweetest memory
playing key
of
lovers melo
lovers melody love melody
sweetest memory
playing key
of
lovers melody
grabbing shining star
memory thing
see will downing liveget ticket low
sweetest memory
playing key
of
lovers melo
lovers melody love melody
sweetest memory
playing key
of
lovers melody
lovers melody
sweetest memory
playing key
of
lovers melody
lovers melody love melody
sweetest memory
playing key
of
lovers melo
lovers melody",happy,1
